,label,area,centroid-0,centroid-1,axis_major_length,axis_minor_length,orientation,perimeter,intensity_mean
0,4,176.0,408.29545454545456,4690.301136363636,22.54091658913563,10.965458200025486,-0.5736074668077088,61.01219330881976,170.1590909090909
1,11,390.0,476.64871794871794,4610.98717948718,30.55831059023304,17.833627779418908,-1.3780598339635917,96.46803743153546,177.46410256410257
2,12,129.0,481.3255813953488,4589.891472868217,14.88423552998545,11.71568184517099,0.39752291318573924,46.2842712474619,169.65891472868216
3,215,369.0,3393.0840108401085,3719.1246612466125,30.37583759434855,17.373422442571503,1.4455865172269717,96.71067811865476,172.53658536585365
4,245,1442.0,3776.255894590846,3668.0797503467406,63.84797717576983,32.98149038047654,-0.3110241765560115,220.36248173426378,181.25312066574202
5,255,78.0,3369.8846153846152,3690.0897435897436,11.217259236926328,9.531886271633317,-0.3444997567687087,34.87005768508881,170.46153846153845
6,317,272.0,3820.2720588235293,3671.919117647059,22.766965712225957,16.125241199629137,-0.6067712633666902,72.91168824543142,185.75
7,334,195.0,3720.6,808.9384615384615,17.22087444014422,14.993344489482597,1.1214032157764444,55.35533905932738,138.15897435897435
8,358,666.0,4007.8153153153153,3979.957957957958,47.25849043023233,19.083689185397773,0.3435534298249916,132.50966799187808,176.32282282282281
9,360,204.0,3781.200980392157,3681.2156862745096,19.042016853453912,14.691974421941522,0.10453209155316225,64.91168824543144,184.4558823529412
10,367,183.0,3797.398907103825,3691.7650273224044,21.509263066835345,11.683381903677232,0.24511050305255647,60.66904755831214,176.12021857923497
11,375,121.0,3807.9504132231405,3652.2479338842977,14.512812941015776,11.507453901311516,0.5182657104497334,45.941125496954285,180.7520661157025
12,419,327.0,4041.4159021406726,3821.5749235474004,28.38911507490221,15.612924977028422,-0.7391369266157479,84.5685424949238,177.35168195718654
13,426,103.0,3883.9223300970875,3943.766990291262,15.055908276027713,8.922810302545795,0.2947152091234294,38.62741699796952,176.38834951456312
14,439,427.0,4078.2927400468384,3361.1990632318502,30.938131148595602,19.94659587984646,-0.33247120575519845,106.61017305526642,171.88056206088993
15,448,505.0,4088.3465346534654,3340.7128712871286,30.19138721620933,26.05698378579646,0.5860878665902868,128.16652224137047,170.93663366336634
16,458,272.0,4101.341911764706,3314.0588235294117,24.628997105170583,15.018172436205509,0.5683774755688616,75.1543289325507,160.93014705882354
17,485,356.0,4142.5,3287.921348314607,28.398679530433242,19.534477182837726,-1.2296030837864163,103.12489168102785,159.1994382022472
18,486,79.0,3970.9240506329115,3977.3924050632913,11.495809121921882,9.133288250673779,-0.41413047450798024,34.87005768508881,170.91139240506328
19,552,352.0,4224.505681818182,2865.1704545454545,24.393698445506526,19.05089575432752,0.6223143053031193,78.5685424949238,154.375
20,599,82.0,4121.475609756098,3295.1463414634145,11.905814745946172,9.033643837444009,-0.005539281934852316,32.97056274847714,156.9390243902439
21,612,143.0,4130.188811188811,3256.2237762237764,14.731881565947821,13.417660919358775,-0.1729218639252132,51.59797974644667,164.43356643356643
22,637,194.0,4145.8917525773195,3798.4123711340208,18.87419386323336,15.332427427832462,1.4528479069532816,67.25483399593904,173.5463917525773
23,640,164.0,4145.676829268293,3307.0426829268295,16.632378924071,13.460162999862623,1.3810210654852273,59.012193308819754,163.8170731707317
24,665,89.0,4167.191011235955,3351.3146067415732,14.766330936965375,8.565109530077006,-1.3412077442268862,38.87005768508881,134.13483146067415
25,693,177.0,4198.022598870057,1853.768361581921,21.75518435680355,10.594374015341849,-0.1935988404849519,55.11269837220809,144.41242937853107
26,696,144.0,4197.881944444444,2850.2291666666665,15.761564591531707,13.032388244499508,-0.8125902352057734,55.840620433565945,161.14583333333334
27,697,207.0,4201.299516908212,2969.521739130435,20.956639963906447,14.661872896468363,-1.0239864349934977,68.66904755831214,162.3671497584541
28,714,225.0,4216.408888888889,1957.2755555555555,23.32679085676881,13.19216110970148,-0.43331438000493805,66.66904755831214,140.71555555555557
29,717,88.0,4216.159090909091,637.5227272727273,11.147018442909292,10.307271588642415,1.223897058169412,33.798989873223334,174.5
30,718,101.0,4218.217821782178,4375.029702970297,13.274133715435008,10.052060413725014,-0.4427184169220121,39.698484809834994,165.78217821782178
31,730,89.0,4228.348314606742,3540.7078651685392,13.346041576033588,8.58356829331106,0.42455854161073475,34.62741699796952,160.53932584269663
32,732,305.0,4237.927868852459,2846.7639344262293,25.645242998604218,17.72714167186255,0.12673213440907682,96.71067811865476,151.04590163934427
33,751,117.0,4247.675213675214,4375.760683760684,17.375716807689724,9.552016251711143,1.0023378929526041,48.526911934581186,168.4188034188034
34,767,202.0,4272.30198019802,3651.232673267327,20.23807180996942,13.414051265137752,1.4072293182636393,59.698484809834994,173.40594059405942
35,777,129.0,4285.596899224806,3639.4496124031007,18.35253643273158,9.537428627166394,-0.01645959469306173,49.35533905932738,164.93798449612405
36,782,97.0,4288.979381443299,2912.463917525773,14.566987088160674,8.74507203995296,0.9398625195090067,38.04163056034262,148.24742268041237
37,783,139.0,4298.892086330935,4297.575539568345,17.270744930976583,11.108581308151447,0.5129689054643078,53.35533905932738,171.38129496402877
38,796,170.0,4327.617647058823,2871.211764705882,22.834770551763498,9.989944834329727,-0.5490285517928857,57.012193308819754,158.34117647058824
39,798,144.0,4332.555555555556,2907.027777777778,14.713176580686357,12.863153054771635,1.4726443204655462,44.8700576850888,162.74305555555554
40,831,131.0,4487.076335877862,2813.022900763359,15.508702369203249,11.012341023373661,-0.3324971811240214,42.627416997969526,147.206106870229
41,845,273.0,4558.985347985348,2762.227106227106,28.066265817103282,14.031819190711401,-0.4303369494024008,83.74011537017762,149.3846153846154
42,848,184.0,4559.065217391304,4017.663043478261,21.57205905959885,11.476850682028266,0.47302642139749634,63.840620433565945,171.54891304347825
43,854,144.0,4570.458333333333,4121.965277777777,15.797524811285653,12.447758733649016,0.48103799991380103,52.18376618407356,178.28472222222223
